PriceTotal,Size,Deposit,OnlineSince,Adress,AmountofIcons,AmountofIconsNeeded,Title_length,LookingFor_length,analysis_det,analysis_desr,analysis_desl,analysis_desli,analysis_deso
1080,12,0,192.0,2,4,0,89,16,0.0,-0.9823,-0.5994,0.0,0.0
917,130,1375,168.0,2,3,0,27,16,0.0,0.0,0.0,0.0,-0.9545
1050,14,0,1.0,2,4,0,55,16,0.0,-0.9761,-0.5994,0.0,0.0
1347,140,1000,168.0,4,4,0,50,16,0.0,0.0,0.0,0.0,-0.9783
800,18,1200,1.0,3,9,2,103,338,0.0,-0.855,-0.636,0.0,0.0
680,13,1200,1.0,2,9,3,48,273,0.0,0.9399,0.964,0.9974,0.8376
790,28,2000,1.0,4,10,2,45,326,0.0,-0.8395,0.0,0.0,0.0
820,20,1200,1.0,2,9,3,81,338,0.0,-0.923,-0.9869,-0.6705,-0.5994
715,14,1890,1.0,1,10,7,52,16,0.0,-0.5255,-0.9761,0.0,0.0
798,10,1590,1.0,3,11,3,56,16,0.0,-0.8271,-0.8439,0.0,0.0
900,10,1500,1.0,2,10,5,69,16,0.0,-0.8126,-0.3612,-0.5994,0.0
599,12,1200,1.0,2,11,3,95,338,0.0,-0.9948,0.0,0.0,0.0
775,13,2070,1.0,2,12,5,33,16,0.0,-0.9041,-0.9892,-0.855,0.0
940,20,1500,1.0,2,10,0,66,338,0.0,-0.923,-0.9869,-0.6705,-0.5994
720,14,1440,1.0,3,7,3,31,16,0.4588,-0.5994,-0.8316,-0.5994,-0.5994
690,17,1500,1.0,3,8,0,27,16,0.0,-0.8658,-0.7964,-0.2263,-0.8316
765,16,2040,1.0,2,10,5,52,16,0.0,-0.5255,-0.9661,0.0,0.0
765,11,1300,1.0,2,10,0,57,338,0.0,-0.9186,-0.9869,-0.1531,-0.5994
600,10,500,1.0,4,5,7,17,16,0.0,0.0,0.0,0.0,0.0
770,16,1450,1.0,2,12,4,63,338,0.0,-0.5423,0.0,0.0,0.0
780,18,780,1.0,11111,1,3,36,16,0.0,0.8126,0.0,0.0,0.0
700,16,0,1.0,82067,10,0,44,16,0.0,-0.8316,-0.8316,0.0,0.0
320,11,1000,1.0,3,8,0,73,338,0.0,-0.5374,0.636,-0.5994,0.0
1170,178,1000,168.0,2,4,0,50,16,0.0,0.0,0.0,0.0,-0.9783
930,13,0,24.0,3,4,0,63,16,0.0,-0.9823,-0.5994,0.0,0.0
1254,108,1000,168.0,2,3,0,50,16,0.0,0.0,0.0,0.0,-0.9783
900,13,0,192.0,2,4,0,70,16,0.0,-0.9761,-0.5994,0.0,0.0
1020,87,1530,168.0,4,3,0,27,16,0.0,-0.8439,0.0,0.0,-0.9545
1095,101,1642,168.0,2,3,0,27,16,0.0,-0.5994,0.0,0.0,-0.9545
910,16,1000,1.0,3,12,0,123,338,0.0,-0.8092,0.5994,-0.5994,0.0
765,18,2040,1.0,3,12,5,52,16,0.0,-0.5255,-0.9661,0.0,0.0
750,16,1500,1.0,2,9,6,46,16,0.0,0.3612,0.0,0.5994,0.2023
850,15,0,1.0,3,1,0,69,338,0.0,-0.8977,-0.5994,0.5859,-0.7263
795,11,1500,1.0,2,11,6,51,286,0.0,-0.9661,-0.9485,0.5267,-0.8439
735,10,1950,1.0,3,10,3,84,338,0.4588,-0.9309,-0.8807,0.0,0.0
375,12,945,1.0,4,8,0,97,338,0.0,0.471,-0.2732,-0.9808,-0.9769
755,11,2070,1.0,2,11,7,77,338,0.0,-0.872,-0.9524,0.9228,0.947
750,10,1350,1.0,2,9,5,56,16,0.0,-0.5994,-0.3612,-0.8316,0.0
820,16,1640,1.0,2,9,0,63,16,0.0,0.9844,0.3291,0.8541,0.7639
710,10,1875,1.0,1,12,5,52,16,0.0,-0.5255,-0.9927,0.0,0.0
655,17,515,1.0,2,1,0,41,5,0.0,-0.886,0.0,0.0,0.0
1000,17,3000,1.0,4,11,0,12,338,0.0,-0.9782,-0.9485,-0.296,0.0
750,11,1500,1.0,2,9,5,24,286,0.0,-0.9819,-0.9136,-0.8439,0.0
1200,30,2700,1.0,4,8,5,22,338,0.0,0.9749,0.0,0.0,0.0
800,10,1600,1.0,2,12,5,83,338,0.0,-0.9821,-0.9136,0.0,-0.5994
920,12,1840,1.0,4,9,4,51,338,0.4588,-0.9661,-0.8316,-0.5994,0.0
700,12,1000,1.0,4,13,2,34,338,0.0,-0.9062,0.0,0.0,0.0
835,18,1370,1.0,2,8,6,92,16,0.0,0.3612,0.0,0.0,0.0
750,14,1500,1.0,3,9,0,178,338,0.4588,0.9142,0.0,0.0,0.0
1140,9,0,192.0,2,4,0,76,16,0.0,-0.9661,-0.8439,0.0,0.0
1020,177,1530,168.0,3,3,0,27,16,0.0,0.0,0.0,0.0,-0.9545
1026,68,1539,168.0,4,3,0,27,16,0.0,0.0,0.0,0.0,-0.9545
1010,177,1515,168.0,3,3,0,27,16,0.0,0.0,0.0,0.0,-0.9545
917,130,1375,168.0,2,3,0,27,16,0.0,0.0,0.0,0.0,-0.9545
1050,15,0,24.0,2,4,0,55,16,0.0,-0.9761,-0.5994,0.0,0.0
750,13,1500,1.0,3,9,0,113,245,0.4588,0.1823,0.0,0.0,0.0
750,12,1500,1.0,3,9,0,180,245,0.4588,0.5733,0.0,0.0,0.0
920,12,1840,1.0,4,10,4,49,338,0.4588,0.8965,0.4404,0.7587,0.0
715,10,1890,1.0,1,12,5,52,5,0.0,-0.5255,-0.9864,0.0,0.0
665,16,0,1.0,4,7,3,66,16,0.0,-0.9674,-0.9136,0.0,0.0
330,20,400,1.0,4,8,2,46,245,0.0,-0.875,0.5267,-0.5994,-0.8439
330,21,1000,1.0,4,11,3,37,245,0.0,-0.5267,-0.636,-0.9778,-0.8439
1000,24,0,1.0,4,12,0,73,338,0.0,-0.8591,0.636,-0.5994,0.0
750,15,500,1.0,4,2,2,35,338,0.0,0.6901,0.4215,0.8588,0.743
650,18,1000,1.0,2,7,5,55,338,0.0,-0.9186,-0.5994,0.3382,-0.8316
725,15,1500,1.0,4,11,0,24,338,0.0,0.0,-0.5994,0.5574,0.0
950,18,1900,1.0,4,10,0,56,338,0.0,-0.9037,-0.9776,-0.9829,-0.9619
800,12,1500,1.0,3,8,5,26,338,0.0,0.7579,0.0,0.6369,-0.2023
890,17,890,1.0,81548,10,3,64,338,0.0,-0.9866,-0.5994,0.0,0.555
690,17,690,1.0,2,8,4,37,5,0.0,-0.8481,0.0,0.5574,0.0
720,10,1905,1.0,2,12,5,52,16,0.0,-0.5255,-0.9939,0.0,0.0
565,20,1500,1.0,2,9,0,72,338,0.0,-0.9184,0.0,-0.5994,-0.5994
1080,11,0,192.0,2,4,0,71,16,0.0,-0.9661,-0.9508,0.0,0.0
1195,124,1792,168.0,2,3,0,27,16,0.0,-0.636,0.0,0.0,-0.9545
975,67,1462,168.0,2,3,0,27,16,0.0,0.0,0.0,0.0,-0.9545
1160,103,1000,168.0,4,4,0,67,16,0.0,0.0,0.0,0.0,-0.9783
1080,12,0,192.0,2,4,0,89,16,0.0,-0.9823,-0.5994,0.0,0.0
1231,124,1846,168.0,2,3,0,27,16,0.0,-0.636,0.0,0.0,-0.9545
600,21,1200,1.0,4,6,0,31,338,0.0,0.0,0.5994,0.0,0.4588
770,30,700,1.0,2,7,2,28,16,0.4588,0.9378,0.0,0.0,0.0
630,14,1890,1.0,1,10,0,68,286,0.0,0.0,0.0,0.0,0.0
565,20,0,1.0,2,7,3,41,326,0.0,-0.8316,0.0,0.2732,0.6486
600,15,1000,1.0,4,1,3,39,338,0.0,-0.9467,0.0,0.0,0.0
640,16,50,1.0,82024,10,0,37,16,0.0,-0.8316,-0.5994,-0.8602,0.0
930,21,1980,1.0,3,10,6,169,338,0.0,-0.9474,-0.4738,-0.9661,-0.9508
711,16,1397,1.0,2,10,2,24,286,0.0,-0.9062,-0.8316,0.0,0.5093
395,12,300,1.0,2,2,3,26,338,0.0,0.8074,0.0,0.0,0.0
935,20,1650,1.0,3,12,2,67,16,0.0,-0.5994,-0.8807,0.6166,0.0
850,24,1700,1.0,2,10,0,52,16,0.0,0.5994,0.5994,0.0,0.0
950,18,2000,1.0,3,5,0,56,338,0.0,0.5922,0.9402,0.0,0.0
800,14,1600,1.0,4,3,2,61,16,0.4588,0.3182,0.0,0.0,0.0
970,16,1940,1.0,4,4,2,47,16,0.0,-0.25,-0.5052,0.0,-0.8481
640,16,1920,1.0,1,10,0,64,245,0.0,-0.5423,0.0,0.0,0.0
790,16,2000,1.0,2,11,3,67,338,0.0,-0.9935,-0.9761,0.0,-0.5994
450,15,890,1.0,1,1,3,38,16,0.0,-0.9633,-0.9136,-0.636,0.0
600,13,1755,1.0,2,4,3,52,16,0.0,-0.8622,-0.9485,0.0,-0.3612
1245,0,1867,168.0,2,3,0,27,16,0.0,-0.9184,0.0,0.0,-0.9545
1110,21,0,24.0,3,4,0,63,16,0.0,-0.9761,-0.5994,0.0,0.0
1045,83,1567,168.0,2,3,0,27,16,0.0,0.0,0.0,0.0,-0.9545
870,12,0,1.0,4,4,0,77,16,0.0,-0.9823,-0.5994,0.0,0.0
1270,0,1000,168.0,4,4,0,67,16,0.0,0.0,0.0,0.0,-0.9783
1088,89,1632,168.0,2,3,0,27,16,0.0,-0.9184,0.0,0.0,-0.9545
600,12,1755,1.0,2,8,2,41,326,0.4588,-0.5994,-0.5994,0.0,-0.3612
790,35,1580,1.0,82347,12,5,93,338,0.0,-0.9814,-0.7243,0.5859,-0.6688
610,17,1270,1.0,4,6,0,38,338,0.0,-0.8316,-0.5994,-0.5994,0.0
600,14,1755,1.0,82061,7,0,36,338,0.0,0.0,-0.5994,0.0,-0.3612
600,12,1755,1.0,2,7,0,42,338,0.0,-0.9184,-0.9485,0.0,-0.3612
900,15,900,1.0,2,11,0,39,5,0.0,-0.5994,0.0,-0.5994,0.0
785,10,2000,1.0,2,12,0,159,338,0.0,-0.9779,0.0,-0.5826,0.9901
750,13,400,1.0,3,8,0,38,338,0.0,-0.9312,0.0,0.0,0.0
578,17,632,1.0,2,6,3,71,16,0.0,-0.9451,-0.7263,-0.9136,0.0
350,14,1050,1.0,2,9,0,76,245,0.0,-0.9618,-0.9485,-0.5994,-0.9184
850,12,1500,1.0,4,9,4,53,16,0.0,-0.9779,0.0,-0.5994,-0.9508
875,12,1500,1.0,2,10,5,69,16,0.0,-0.8126,-0.3612,-0.5994,0.0
935,13,1500,1.0,4,11,4,20,16,0.4588,-0.9739,0.0,-0.5994,-0.855
850,12,1500,1.0,3,11,4,40,16,0.4588,-0.9841,0.0,-0.5994,-0.9184
825,14,1500,1.0,4,10,6,46,16,0.4588,-0.9841,0.0,-0.5994,-0.8439
650,18,1000,1.0,2,3,3,42,338,0.4588,0.7717,0.0,0.0,0.0
800,22,1600,1.0,2,10,4,51,338,0.0,-0.8126,0.0,0.0,0.0
650,16,200,1.0,2,12,3,28,16,0.0,0.0,-0.5994,0.0,0.0
800,22,2400,1.0,3,11,2,60,338,0.0,-0.1119,-0.5994,-0.3182,0.0
1080,11,0,192.0,2,4,0,71,16,0.0,-0.9661,-0.9508,0.0,0.0
1050,16,0,24.0,3,4,0,63,16,0.0,-0.9823,-0.5994,0.0,0.0
1095,105,1642,168.0,2,3,0,27,16,0.0,-0.5994,0.0,0.0,-0.9545
1050,89,1575,168.0,2,3,0,27,16,0.0,-0.9184,0.0,0.0,-0.9545
1320,144,1980,168.0,2,3,0,27,16,0.0,-0.5994,0.0,0.0,-0.9545
1285,0,1927,168.0,2,3,0,27,16,0.0,-0.9184,0.0,0.0,-0.9545
840,22,2000,1.0,4,10,3,41,338,0.0,-0.7357,-0.2263,0.25,0.5093
880,22,2340,1.0,2,12,3,67,338,0.0,0.4003,0.0,0.0,0.0
825,12,1500,1.0,3,10,4,55,16,0.4588,-0.9795,0.0,-0.5994,-0.9184
480,15,760,1.0,85646,9,0,41,326,0.0,-0.5994,-0.5994,0.5267,-0.5994
989,40,1000,1.0,2,12,0,39,338,0.4588,-0.9451,0.0,-0.5994,0.0
900,10,1500,1.0,2,9,6,86,16,0.0,-0.8316,-0.8316,-0.5994,0.0
825,10,1500,1.0,2,10,5,81,16,0.0,-0.5994,-0.9896,-0.5994,0.0
800,10,1500,1.0,4,10,5,73,16,0.0,-0.5994,-0.9761,-0.8316,0.0
700,13,300,1.0,3,10,0,67,16,0.0,-0.9451,0.0,0.0,0.0
1000,17,2000,1.0,3,8,3,42,16,0.0,-0.1779,-0.9508,-0.636,-0.8316
307,20,400,1.0,4,9,0,34,245,0.0,-0.8715,-0.9184,-0.9661,-0.5994
925,13,1500,1.0,2,12,5,130,338,0.0,-0.9039,-0.8439,-0.9619,0.0
749,35,0,1.0,4,6,0,52,16,0.0,0.9431,0.0,0.0,0.0
749,35,0,1.0,4,6,3,52,16,0.0,0.9431,0.0,0.0,0.0
650,13,1300,1.0,4,11,3,59,16,0.0,0.0,-0.8316,0.0,0.0
400,18,0,1.0,4,7,2,84,286,0.0,0.0,-0.5994,-0.8316,0.4588
630,15,1260,1.0,4,13,0,54,16,0.4588,-0.9623,-0.9652,0.9844,-0.2525
1231,124,1846,168.0,2,3,0,27,16,0.0,-0.636,0.0,0.0,-0.9545
930,17,0,24.0,3,4,0,59,16,0.0,-0.9761,-0.5994,0.0,0.0
965,83,1447,168.0,2,3,0,27,16,0.0,0.0,0.0,0.0,-0.9545
1170,22,0,24.0,2,4,0,68,16,0.0,-0.9769,-0.5994,0.0,0.0
1035,18,1552,1.0,4,2,0,38,16,0.0,0.1697,0.9853,0.0,0.3094
950,22,1980,1.0,2,2,0,27,16,0.0,0.1697,-0.8316,0.0,0.3094
970,20,1455,1.0,4,2,0,38,16,0.0,0.1697,0.9853,0.0,0.3094
900,17,1980,1.0,2,2,0,27,16,0.0,0.1697,-0.8316,0.0,0.3094
850,15,1700,1.0,4,2,0,24,16,0.0,0.1697,-0.8316,0.0,0.3094
800,12,1760,1.0,2,2,0,27,16,0.0,0.1697,-0.8316,0.0,0.3094
795,15,1580,1.0,3,2,0,23,16,0.0,0.1697,-0.8316,0.0,0.3094
790,14,1580,1.0,2,2,0,28,16,0.0,0.1697,-0.8316,0.0,0.3094
750,13,1590,1.0,1,2,0,20,16,0.0,0.1697,-0.8316,0.0,0.3094
699,12,1590,1.0,3,2,0,23,16,0.0,0.1697,-0.8316,0.0,0.3094
699,10,1498,1.0,3,2,0,24,16,0.0,0.1697,-0.8316,0.0,0.3094
1020,19,2000,1.0,4,12,0,110,338,0.0,0.1739,0.1027,0.9517,0.8618
865,17,2400,1.0,4,10,6,84,16,0.4588,-0.9758,-0.9846,0.0,-0.9136
804,15,0,1.0,2,10,5,32,245,0.0,-0.636,0.2263,-0.8777,0.0
740,12,300,1.0,1,12,3,11,338,0.0,0.0,0.0,-0.8126,0.0
890,22,1500,1.0,2,11,0,51,338,0.0,-0.7003,-0.8979,0.5904,0.4588
250,20,500,1.0,4,11,4,82,245,0.0,-0.9349,0.0,-0.636,-0.8439
800,16,1000,1.0,2,8,3,32,286,0.4588,-0.5994,-0.5994,0.0,0.9524
800,12,1600,1.0,2,12,5,85,338,0.0,-0.9892,-0.9136,0.0,-0.5994
1050,15,0,24.0,2,4,0,68,16,0.0,-0.9769,-0.5994,0.0,0.0
965,83,1447,168.0,2,3,0,27,16,0.0,0.0,0.0,0.0,-0.9545
1095,105,1642,168.0,2,3,0,27,16,0.0,-0.5994,0.0,0.0,-0.9545
1160,0,1000,168.0,4,4,0,67,16,0.0,0.0,0.0,0.0,-0.9783
840,11,0,24.0,2,4,0,70,16,0.0,-0.9761,-0.5994,0.0,0.0
1170,163,1755,168.0,2,3,0,27,16,0.0,-0.9184,0.0,0.0,-0.9545
640,15,1350,1.0,2,10,0,52,245,0.0,0.9936,-0.296,0.0,0.0
950,21,1900,1.0,2,12,5,154,338,0.0,-0.9892,-0.9136,0.0,-0.5994
690,12,1400,1.0,2,9,0,55,338,0.0,-0.8439,-0.9217,-0.8316,0.75
880,11,2190,1.0,2,11,7,143,338,0.0,-0.9485,-0.5994,0.0,0.0
850,18,800,1.0,2,12,6,46,338,0.4588,0.5499,0.0,0.9729,0.9296
880,25,1780,1.0,1,11,5,88,338,0.0,-0.9947,0.0,0.0,-0.5994
850,16,1500,1.0,2,11,4,34,338,0.4588,0.296,-0.8979,0.0,0.6124
1050,25,2880,1.0,2,9,0,26,338,0.0,-0.88,-0.5994,0.0,0.0
695,12,0,1.0,1,3,2,32,16,0.0,-0.5994,0.0,0.0,0.0
1450,30,4350,1.0,4,10,0,76,338,0.0,-0.8591,-0.8316,-0.743,-0.9719
700,8,0,1.0,2,4,3,47,338,0.0,-0.0258,0.0,0.0,0.0
820,13,2340,1.0,3,5,3,30,16,0.0,-0.6705,-0.128,0.8436,0.7184
889,20,889,1.0,1,10,0,50,245,0.0,-0.992,0.0,0.0,0.0
680,20,1350,1.0,83623,10,0,56,16,0.0,-0.9887,-0.9312,-0.9726,0.4588
897,14,2463,1.0,4,13,4,90,274,0.4588,-0.9713,-0.7088,0.0,-0.8316
570,35,0,1.0,12345,9,0,45,16,0.0,-0.7906,0.0,0.0,0.0
500,27,0,1.0,12345,10,0,85,338,0.0,0.0,0.0,0.0,0.0
1140,9,0,192.0,2,4,0,76,16,0.0,-0.9661,-0.8439,0.0,0.0
1010,177,1515,168.0,3,3,0,27,16,0.0,0.0,0.0,0.0,-0.9545
1160,103,1000,168.0,4,4,0,67,16,0.0,0.0,0.0,0.0,-0.9783
1160,0,1000,168.0,4,4,0,67,16,0.0,0.0,0.0,0.0,-0.9783
1064,92,1596,168.0,2,3,0,27,16,0.0,-0.5994,0.0,0.0,-0.9545
960,14,0,24.0,4,4,0,73,16,0.0,-0.9828,-0.5994,0.0,0.0
870,20,1000,1.0,3,10,5,55,338,0.0,0.5267,0.0,-0.9136,0.0
880,14,1800,1.0,4,11,0,19,338,0.0,0.2263,-0.5994,-0.9661,-0.9229
890,15,1400,1.0,2,11,5,19,16,0.0,-0.5423,-0.9661,0.0,0.0
500,13,500,1.0,3,12,0,19,274,0.0,-0.8126,-0.5994,0.0,-0.8126
550,18,1100,1.0,85375,9,0,75,286,0.0,-0.9196,0.0,0.0,0.0
300,12,150,1.0,3,10,0,51,245,0.0,-0.9854,-0.9136,-0.4215,-0.9721
890,22,2000,1.0,1,11,8,62,16,0.4588,-0.1531,0.0,0.0,0.0
680,14,0,1.0,2,1,3,51,16,0.0,0.4588,0.0,0.0,0.0
490,14,490,1.0,2,10,0,69,338,0.0,-0.978,0.5994,-0.5423,-0.5994
476,14,500,1.0,3,8,0,53,245,0.0,-0.7717,-0.9485,-0.8316,0.0
780,14,500,1.0,2,11,2,31,338,0.0,-0.2263,-0.9661,0.4588,-0.9648
650,16,0,1.0,3,10,0,30,338,0.0,-0.8126,0.4019,-0.8316,0.0
544,11,1158,1.0,1,10,3,40,286,0.0,-0.9186,-0.5994,0.0,-0.765
850,14,2000,1.0,3,4,3,38,338,0.0,-0.9062,-0.8316,-0.8316,-0.3818
730,21,850,1.0,4,8,3,35,338,0.0,0.4404,-0.5994,-0.9357,0.0
800,14,300,1.0,3,9,0,25,16,0.0,-0.5994,0.0,0.0,0.0
910,12,1500,1.0,3,12,3,80,16,0.0,-0.9509,-0.9485,-0.4215,-0.8658
544,11,1158,1.0,1,7,3,41,338,0.0,-0.9186,-0.5994,0.0,-0.765
960,14,0,168.0,2,4,0,70,16,0.0,-0.9761,-0.5994,0.0,0.0
922,68,1383,168.0,4,3,0,27,16,0.0,0.0,0.0,0.0,-0.9545
1041,89,1561,168.0,2,3,0,27,16,0.0,-0.9184,0.0,0.0,-0.9545
1120,92,1680,168.0,2,3,0,27,16,0.0,-0.5994,0.0,0.0,-0.9545
1200,80,1800,168.0,2,3,0,27,16,0.0,-0.9184,0.0,0.0,-0.9545
1200,16,0,168.0,2,4,0,71,16,0.0,-0.9661,-0.9508,0.0,0.0
480,15,480,1.0,83527,12,2,45,338,0.0,-0.959,0.0,-0.9382,0.0
700,15,2163,1.0,2,11,3,42,338,0.0,-0.9595,-0.9761,-0.5994,-0.6688
835,22,0,1.0,4,6,3,90,286,0.0,0.34,-0.8748,-0.7263,0.0
310,20,500,1.0,4,7,0,32,233,0.0,-0.9854,-0.9823,-0.8316,-0.9661
700,15,700,1.0,3,10,2,82,16,0.4588,-0.2263,0.2382,0.0,0.9158
770,11,1788,1.0,4,9,2,29,286,0.4588,0.7964,0.5994,0.5499,0.9107
990,25,0,1.0,4,13,2,91,338,0.4588,0.9936,0.0,0.0,0.0
820,14,1890,1.0,82152,11,2,51,338,0.0,0.0,-0.5994,0.0,-0.9643
350,22,1000,1.0,4,11,4,34,245,0.0,-0.9509,-0.9661,-0.9136,-0.7044
750,11,1950,1.0,3,11,6,48,5,0.0,-0.9153,-0.9485,0.0,0.0
