Size,PriceTotal,Deposit,OnlineSince,Adress,AmountofIcons,AmountofIconsNeeded,Titel_length,analysis_det,analysis_desr,analysis_desl,analysis_deso
20,940,1500,1.0,2,10,0,66,0.0,-0.923,-0.6705,-0.5994
14,720,1440,1.0,3,7,3,31,0.4588,-0.5994,-0.5994,-0.5994
17,690,1500,1.0,3,8,0,27,0.0,-0.8658,-0.2263,-0.8316
16,765,2040,1.0,2,10,5,52,0.0,-0.5255,0.0,0.0
11,765,1300,1.0,2,10,0,57,0.0,-0.9186,-0.1531,-0.5994
10,600,500,1.0,4,5,7,17,0.0,0.0,0.0,0.0
16,770,1450,1.0,2,12,4,63,0.0,-0.5423,0.0,0.0
18,780,780,1.0,11111,1,3,36,0.0,0.8126,0.0,0.0
16,700,0,1.0,82067,10,0,44,0.0,-0.8316,0.0,0.0
11,320,1000,1.0,3,8,0,73,0.0,-0.5374,-0.5994,0.0
178,1170,1000,168.0,2,4,0,50,0.0,0.0,0.0,-0.9783
13,930,0,24.0,3,4,0,63,0.0,-0.9823,0.0,0.0
108,1254,1000,168.0,2,3,0,50,0.0,0.0,0.0,-0.9783
13,900,0,192.0,2,4,0,70,0.0,-0.9761,0.0,0.0
87,1020,1530,168.0,4,3,0,27,0.0,-0.8439,0.0,-0.9545
101,1095,1642,168.0,2,3,0,27,0.0,-0.5994,0.0,-0.9545
16,910,1000,1.0,3,12,0,123,0.0,-0.8092,-0.5994,0.0
18,765,2040,1.0,3,12,5,52,0.0,-0.5255,0.0,0.0
16,750,1500,1.0,2,9,6,46,0.0,0.3612,0.5994,0.2023
15,850,0,1.0,3,1,0,69,0.0,-0.8977,0.5859,-0.7263
11,795,1500,1.0,2,11,6,51,0.0,-0.9661,0.5267,-0.8439
10,735,1950,1.0,3,10,3,84,0.4588,-0.9309,0.0,0.0
12,375,945,1.0,4,8,0,97,0.0,0.471,-0.9808,-0.9769
11,755,2070,1.0,2,11,7,77,0.0,-0.872,0.9228,0.947
10,750,1350,1.0,2,9,5,56,0.0,-0.5994,-0.8316,0.0
16,820,1640,1.0,2,9,0,63,0.0,0.9844,0.8541,0.7639
10,710,1875,1.0,1,12,5,52,0.0,-0.5255,0.0,0.0
17,655,515,1.0,2,1,0,41,0.0,-0.886,0.0,0.0
17,1000,3000,1.0,4,11,0,12,0.0,-0.9782,-0.296,0.0
11,750,1500,1.0,2,9,5,24,0.0,-0.9819,-0.8439,0.0
30,1200,2700,1.0,4,8,5,22,0.0,0.9749,0.0,0.0
10,800,1600,1.0,2,12,5,83,0.0,-0.9821,0.0,-0.5994
12,920,1840,1.0,4,9,4,51,0.4588,-0.9661,-0.5994,0.0
12,700,1000,1.0,4,13,2,34,0.0,-0.9062,0.0,0.0
18,835,1370,1.0,2,8,6,92,0.0,0.3612,0.0,0.0
14,750,1500,1.0,3,9,0,178,0.4588,0.9142,0.0,0.0
9,1140,0,192.0,2,4,0,76,0.0,-0.9661,0.0,0.0
177,1020,1530,168.0,3,3,0,27,0.0,0.0,0.0,-0.9545
68,1026,1539,168.0,4,3,0,27,0.0,0.0,0.0,-0.9545
177,1010,1515,168.0,3,3,0,27,0.0,0.0,0.0,-0.9545
130,917,1375,168.0,2,3,0,27,0.0,0.0,0.0,-0.9545
15,1050,0,24.0,2,4,0,55,0.0,-0.9761,0.0,0.0
13,750,1500,1.0,3,9,0,113,0.4588,0.1823,0.0,0.0
12,750,1500,1.0,3,9,0,180,0.4588,0.5733,0.0,0.0
12,920,1840,1.0,4,10,4,49,0.4588,0.8965,0.7587,0.0
10,715,1890,1.0,1,12,5,52,0.0,-0.5255,0.0,0.0
16,665,0,1.0,4,7,3,66,0.0,-0.9674,0.0,0.0
20,330,400,1.0,4,8,2,46,0.0,-0.875,-0.5994,-0.8439
21,330,1000,1.0,4,11,3,37,0.0,-0.5267,-0.9778,-0.8439
24,1000,0,1.0,4,12,0,73,0.0,-0.8591,-0.5994,0.0
15,750,500,1.0,4,2,2,35,0.0,0.6901,0.8588,0.743
18,650,1000,1.0,2,7,5,55,0.0,-0.9186,0.3382,-0.8316
15,725,1500,1.0,4,11,0,24,0.0,0.0,0.5574,0.0
18,950,1900,1.0,4,10,0,56,0.0,-0.9037,-0.9829,-0.9619
12,800,1500,1.0,3,8,5,26,0.0,0.7579,0.6369,-0.2023
17,890,890,1.0,81548,10,3,64,0.0,-0.9866,0.0,0.555
17,690,690,1.0,2,8,4,37,0.0,-0.8481,0.5574,0.0
10,720,1905,1.0,2,12,5,52,0.0,-0.5255,0.0,0.0
20,565,1500,1.0,2,9,0,72,0.0,-0.9184,-0.5994,-0.5994
11,1080,0,192.0,2,4,0,71,0.0,-0.9661,0.0,0.0
124,1195,1792,168.0,2,3,0,27,0.0,-0.636,0.0,-0.9545
67,975,1462,168.0,2,3,0,27,0.0,0.0,0.0,-0.9545
103,1160,1000,168.0,4,4,0,67,0.0,0.0,0.0,-0.9783
12,1080,0,192.0,2,4,0,89,0.0,-0.9823,0.0,0.0
124,1231,1846,168.0,2,3,0,27,0.0,-0.636,0.0,-0.9545
21,600,1200,1.0,4,6,0,31,0.0,0.0,0.0,0.4588
30,770,700,1.0,2,7,2,28,0.4588,0.9378,0.0,0.0
14,630,1890,1.0,1,10,0,68,0.0,0.0,0.0,0.0
20,565,0,1.0,2,7,3,41,0.0,-0.8316,0.2732,0.6486
15,600,1000,1.0,4,1,3,39,0.0,-0.9467,0.0,0.0
16,640,50,1.0,82024,10,0,37,0.0,-0.8316,-0.8602,0.0
21,930,1980,1.0,3,10,6,169,0.0,-0.9474,-0.9661,-0.9508
16,711,1397,1.0,2,10,2,24,0.0,-0.9062,0.0,0.5093
12,395,300,1.0,2,2,3,26,0.0,0.8074,0.0,0.0
20,935,1650,1.0,3,12,2,67,0.0,-0.5994,0.6166,0.0
24,850,1700,1.0,2,10,0,52,0.0,0.5994,0.0,0.0
18,950,2000,1.0,3,5,0,56,0.0,0.5922,0.0,0.0
14,800,1600,1.0,4,3,2,61,0.4588,0.3182,0.0,0.0
16,970,1940,1.0,4,4,2,47,0.0,-0.25,0.0,-0.8481
16,640,1920,1.0,1,10,0,64,0.0,-0.5423,0.0,0.0
16,790,2000,1.0,2,11,3,67,0.0,-0.9935,0.0,-0.5994
15,450,890,1.0,1,1,3,38,0.0,-0.9633,-0.636,0.0
13,600,1755,1.0,2,4,3,52,0.0,-0.8622,0.0,-0.3612
0,1245,1867,168.0,2,3,0,27,0.0,-0.9184,0.0,-0.9545
21,1110,0,24.0,3,4,0,63,0.0,-0.9761,0.0,0.0
83,1045,1567,168.0,2,3,0,27,0.0,0.0,0.0,-0.9545
12,870,0,1.0,4,4,0,77,0.0,-0.9823,0.0,0.0
0,1270,1000,168.0,4,4,0,67,0.0,0.0,0.0,-0.9783
89,1088,1632,168.0,2,3,0,27,0.0,-0.9184,0.0,-0.9545
12,600,1755,1.0,2,8,2,41,0.4588,-0.5994,0.0,-0.3612
35,790,1580,1.0,82347,12,5,93,0.0,-0.9814,0.5859,-0.6688
17,610,1270,1.0,4,6,0,38,0.0,-0.8316,-0.5994,0.0
14,600,1755,1.0,82061,7,0,36,0.0,0.0,0.0,-0.3612
12,600,1755,1.0,2,7,0,42,0.0,-0.9184,0.0,-0.3612
15,900,900,1.0,2,11,0,39,0.0,-0.5994,-0.5994,0.0
10,785,2000,1.0,2,12,0,159,0.0,-0.9779,-0.5826,0.9901
13,750,400,1.0,3,8,0,38,0.0,-0.9312,0.0,0.0
17,578,632,1.0,2,6,3,71,0.0,-0.9451,-0.9136,0.0
14,350,1050,1.0,2,9,0,76,0.0,-0.9618,-0.5994,-0.9184
12,850,1500,1.0,4,9,4,53,0.0,-0.9779,-0.5994,-0.9508
12,875,1500,1.0,2,10,5,69,0.0,-0.8126,-0.5994,0.0
13,935,1500,1.0,4,11,4,20,0.4588,-0.9739,-0.5994,-0.855
12,850,1500,1.0,3,11,4,40,0.4588,-0.9841,-0.5994,-0.9184
14,825,1500,1.0,4,10,6,46,0.4588,-0.9841,-0.5994,-0.8439
18,650,1000,1.0,2,3,3,42,0.4588,0.7717,0.0,0.0
22,800,1600,1.0,2,10,4,51,0.0,-0.8126,0.0,0.0
16,650,200,1.0,2,12,3,28,0.0,0.0,0.0,0.0
22,800,2400,1.0,3,11,2,60,0.0,-0.1119,-0.3182,0.0
11,1080,0,192.0,2,4,0,71,0.0,-0.9661,0.0,0.0
16,1050,0,24.0,3,4,0,63,0.0,-0.9823,0.0,0.0
105,1095,1642,168.0,2,3,0,27,0.0,-0.5994,0.0,-0.9545
89,1050,1575,168.0,2,3,0,27,0.0,-0.9184,0.0,-0.9545
144,1320,1980,168.0,2,3,0,27,0.0,-0.5994,0.0,-0.9545
0,1285,1927,168.0,2,3,0,27,0.0,-0.9184,0.0,-0.9545
22,840,2000,1.0,4,10,3,41,0.0,-0.7357,0.25,0.5093
22,880,2340,1.0,2,12,3,67,0.0,0.4003,0.0,0.0
12,825,1500,1.0,3,10,4,55,0.4588,-0.9795,-0.5994,-0.9184
15,480,760,1.0,85646,9,0,41,0.0,-0.5994,0.5267,-0.5994
40,989,1000,1.0,2,12,0,39,0.4588,-0.9451,-0.5994,0.0
10,900,1500,1.0,2,9,6,86,0.0,-0.8316,-0.5994,0.0
10,825,1500,1.0,2,10,5,81,0.0,-0.5994,-0.5994,0.0
10,800,1500,1.0,4,10,5,73,0.0,-0.5994,-0.8316,0.0
